"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R205","RESC1005N","4007.874mil","385.827mil","4007.874mil","385.827mil","4031.496mil","385.827mil","T","180.00","10k, 1%"
"R204","RESC1005N","2842.52mil","1181.102mil","2842.52mil","1181.102mil","2818.898mil","1181.102mil","T","360.00","100k, 1%"
"R203","RESC1005N","3062.992mil","1287.402mil","3062.992mil","1287.401mil","3039.37mil","1287.402mil","T","360.00","1M, 1%"
"R202","RESC1005N","2944.882mil","1185.039mil","2944.882mil","1185.039mil","2921.26mil","1185.039mil","T","360.00","100k, 1%"
"R201","RESC1005N","2944.882mil","1133.858mil","2944.882mil","1133.858mil","2921.26mil","1133.858mil","T","360.00","20k, 1%"
"R200","RESC1005N","2842.52mil","1133.858mil","2842.52mil","1133.858mil","2818.898mil","1133.858mil","T","360.00","10k, 1%"
"R119","RESC1005N","3925.197mil","1263.779mil","3925.197mil","1263.78mil","3925.197mil","1287.401mil","T","270.00","47k, 1%"
"R118","RESC1005N","1480.315mil","1295.276mil","1480.315mil","1295.276mil","1480.315mil","1271.654mil","T","90.00","10k, 1%"
"R117","RESC1005N","1480.315mil","1196.85mil","1480.315mil","1196.85mil","1480.315mil","1173.228mil","T","90.00","10k, 1% (DNP)"
"R116","RESC1005N","3940.945mil","1094.488mil","3940.945mil","1094.488mil","3940.945mil","1118.11mil","T","270.00","10k, 1%"
"R114","RESC1005N","3724.409mil","1330.709mil","3724.409mil","1330.709mil","3748.031mil","1330.709mil","T","180.00","10k, 1%"
"R113","RESC1005N","3334.646mil","1326.772mil","3334.646mil","1326.772mil","3358.268mil","1326.772mil","T","180.00","10k, 1%"
"R112","RESC1005N","3444.882mil","1326.772mil","3444.882mil","1326.772mil","3468.504mil","1326.772mil","T","180.00","10k, 1%"
"R111","RESC1005N","3570.866mil","1338.583mil","3570.866mil","1338.583mil","3594.488mil","1338.583mil","T","180.00","10k, 1%"
"R110","RESC1005N","1649.606mil","629.921mil","1649.606mil","629.921mil","1649.606mil","606.299mil","T","90.00","47k, 1%"
"R109","RESC1005N","1649.606mil","527.559mil","1649.606mil","527.559mil","1649.606mil","551.181mil","T","270.00","47k, 1%"
"R108","RESC1005N","2515.748mil","1385.827mil","2515.748mil","1385.827mil","2492.126mil","1385.827mil","T","360.00","100k, 1%"
"R107","RESC1005N","3444.882mil","846.457mil","3444.882mil","846.457mil","3421.26mil","846.457mil","T","360.00","1k, 1%"
"R106","RESC1005N","3464.567mil","1066.929mil","3464.567mil","1066.929mil","3464.567mil","1090.551mil","T","270.00","47k, 1%"
"R105","RESC1005N","2543.307mil","1181.102mil","2543.307mil","1181.102mil","2519.685mil","1181.102mil","T","360.00","10k, 1%"
"R104","RESC1005N","2641.732mil","1181.102mil","2641.732mil","1181.102mil","2618.11mil","1181.102mil","T","360.00","10k, 1%"
"R103","RESC1005N","1492.126mil","409.449mil","1492.126mil","409.449mil","1492.126mil","433.071mil","T","270.00","330, 1%"
"R102","RESC1005N","3807.087mil","574.803mil","3807.087mil","574.803mil","3783.465mil","574.803mil","B","360.00","100k, 1%"
"R101","RESC1005N","1559.055mil","559.055mil","1559.055mil","559.055mil","1582.677mil","559.055mil","T","180.00","330, 1%"
"R100","RESC1005N","1559.055mil","606.299mil","1559.055mil","606.299mil","1582.677mil","606.299mil","T","180.00","330, 1%"
"Q304","SOT23-3N","1559.055mil","1003.937mil","1559.055mil","1003.937mil","1521.654mil","1041.339mil","T","0.00","BSS138"
"Q303","SOIC127P600-8AN","1279.528mil","974.409mil","1279.528mil","974.409mil","1377.953mil","899.409mil","T","180.00","FDS6690A"
"Q302","SOIC127P600-8AN","984.252mil","974.409mil","984.252mil","974.409mil","885.827mil","1049.409mil","T","0.00","FDS6690A"
"Q301","SOIC127P600-8AN","1279.528mil","1190.945mil","1279.528mil","1190.945mil","1181.102mil","1265.945mil","T","360.00","Si4435DY"
"Q206","SOIC127P600-8AN","3625.984mil","145.669mil","3625.984mil","145.669mil","3527.559mil","220.669mil","T","360.00","Si4435DY"
"Q205","SOIC127P600-8AN","3921.26mil","145.669mil","3921.26mil","145.669mil","4019.685mil","70.669mil","T","180.00","Si4435DY"
"Q204","SOT23-3N","3618.11mil","377.953mil","3618.11mil","377.953mil","3580.709mil","415.354mil","T","360.00","BSS138"
"Q203","SOIC127P600-8AN","2933.071mil","996.063mil","2933.071mil","996.063mil","2834.646mil","1071.063mil","T","0.00","Si4435DY"
"Q202","SOT23-3N","3881.89mil","338.583mil","3881.89mil","338.583mil","3844.488mil","375.984mil","T","360.00","BSS138"
"Q201","SOT23-3N","3062.992mil","1185.039mil","3062.992mil","1185.039mil","3100.394mil","1222.441mil","T","270.00","BSS138"
"Q200","SOT23-3N","2854.331mil","1287.401mil","2854.331mil","1287.401mil","2891.732mil","1324.803mil","T","270.00","FDN304P"
"Q101","SOT23-3N","2519.685mil","1283.465mil","2519.685mil","1283.465mil","2557.087mil","1320.866mil","T","270.00","BSS138"
"Q100","SOIC127P600-8AN","2507.874mil","1047.244mil","2507.874mil","1047.244mil","2606.299mil","972.244mil","T","180.00","Si4435DY"
"P303","JST_B3B_EH_A","2318.898mil","1555.118mil","2220.472mil","1555.118mil","2220.472mil","1555.118mil","T","0.00","JST B3B-EH-A"
"P302","JST_B3B_EH_A","1885.827mil","1555.118mil","1787.402mil","1555.118mil","1787.402mil","1555.118mil","T","0.00","JST B3B-EH-A"
"P301","JST_S5B-XH-A_OPT4","212.598mil","1310.039mil","212.598mil","1359.252mil","212.598mil","1506.89mil","T","90.00","JST S4B-XH-A"
"P300","MOLEX_15-24-4441","152.756mil","478.346mil","-47.244mil","478.346mil","352.756mil","778.346mil","T","90.00","Molex 15-24-4441"
"P102","JST_B2B_EH_A","2183.071mil","866.142mil","2133.858mil","866.142mil","2133.858mil","866.142mil","T","0.00","JST B2B-EH-A"
"P101","JST_B2B_EH_A","1844.488mil","866.142mil","1795.276mil","866.142mil","1795.276mil","866.142mil","T","0.00","JST B2B-EH-A"
"L200","COILCRAFT_MSS1048","2590.551mil","448.819mil","2590.551mil","263.779mil","2590.551mil","263.779mil","T","0.00","3.3uH, MSS1260-332NL (DNP)"
"JP200","CUI_PJ_002AH_SMT","4438.976mil","511.811mil","4381.89mil","511.811mil","4559.055mil","287.401mil","T","180.00","2.1mm x 5.5mm DC jack"
"J105","TP_SMT_38mil","3909.449mil","830.709mil","3909.449mil","830.709mil","3909.449mil","830.709mil","T","180.00","test point (DNP)"
"J104","TP_SMT_38mil","3885.827mil","885.827mil","3885.827mil","885.827mil","3885.827mil","885.827mil","T","180.00","test point (DNP)"
"J103","TP_SMT_38mil","2133.858mil","1106.299mil","2133.858mil","1106.299mil","2133.858mil","1106.299mil","T","90.00","test point (DNP)"
"J102","TP_SMT_38mil","1771.653mil","1106.299mil","1771.653mil","1106.299mil","1771.653mil","1106.299mil","T","90.00","test point (DNP)"
"J101","HDR1X5","2896.85mil","1525.197mil","2696.85mil","1525.197mil","2696.85mil","1525.197mil","T","360.00","Male 2.54mm 5x1 header (DNP)"
"J100","SATA_MOLEX_47018_2000","1401.575mil","140.748mil","1401.575mil","81.693mil","2026.575mil","199.803mil","T","360.00","MOLEX 47018-2000 female"
"F300","RESC3216N","738.189mil","1013.78mil","738.189mil","1013.779mil","681.102mil","1013.78mil","T","360.00","Littlefuse 0437007.WR 7A 35V Fast Blow"
"D306","CD1608-0603","4653.543mil","1334.646mil","4653.543mil","1334.646mil","4687.008mil","1334.646mil","T","180.00","APT1608SGC green"
"D305","CD1608-0603","4653.543mil","1214.567mil","4653.543mil","1214.567mil","4687.008mil","1214.567mil","T","180.00","APT1608SGC green"
"D304","CD1608-0603","4653.543mil","1094.488mil","4653.543mil","1094.488mil","4687.008mil","1094.488mil","T","180.00","APT1608SGC green"
"D303","CD1608-0603","4653.543mil","974.409mil","4653.543mil","974.409mil","4687.008mil","974.409mil","T","180.00","APT1608SGC green"
"D302","CD1608-0603","4653.543mil","854.331mil","4653.543mil","854.331mil","4687.008mil","854.331mil","T","180.00","APT1608SGC green"
"D301","SOT23-3N","1370.079mil","783.465mil","1370.079mil","783.465mil","1332.677mil","820.866mil","T","360.00","BAS16"
"D300","SOT23-3N","1031.496mil","1456.693mil","1031.496mil","1456.693mil","1068.898mil","1494.094mil","T","270.00","BAS16"
"D202","SOD123","2715.551mil","510.827mil","2715.551mil","510.827mil","2782.48mil","510.827mil","B","180.00","BAT54T1G"
"D201","SOD123","2937.008mil","181.102mil","2937.008mil","181.102mil","3003.937mil","181.102mil","T","180.00","BAT54T1G"
"D200","SOD123","2937.008mil","98.425mil","2937.008mil","98.425mil","3003.937mil","98.425mil","T","180.00","BAT54T1G"
"D100","SOD123","3393.701mil","771.654mil","3393.701mil","771.654mil","3326.772mil","771.654mil","T","360.00","BAT54T1G"
"C326","CAPC1005N","4358.268mil","1429.134mil","4358.268mil","1429.134mil","4381.89mil","1429.134mil","T","180.00","0.1uF, 25V, X5R"
"C325","CAPC1005N","1921.26mil","1326.772mil","1921.26mil","1326.772mil","1921.26mil","1350.394mil","B","270.00","0.47uF, 16V, X5R"
"C324","CAPC1005N","2188.976mil","1326.772mil","2188.976mil","1326.772mil","2188.976mil","1350.394mil","B","270.00","0.47uF, 16V, X5R"
"C323","CAPC1608N","1165.354mil","531.496mil","1165.354mil","531.496mil","1133.858mil","531.496mil","B","360.00","10uF, 10V, X5R, 20%"
"C322","CAPC1005N","1125.984mil","326.772mil","1125.984mil","326.772mil","1102.362mil","326.772mil","T","360.00","0.1uF, 25V, X5R"
"C321","CAPC1608N","1015.748mil","318.898mil","1015.748mil","318.898mil","1047.244mil","318.898mil","T","180.00","1.0uF, 25V, 20% X5R"
"C320","CAPC1005N","1171.26mil","729.331mil","1171.26mil","729.331mil","1147.638mil","729.331mil","T","360.00","0.1uF, 25V, X5R"
"C319","CAPC1005N","685.039mil","314.961mil","685.039mil","314.961mil","685.039mil","338.583mil","T","270.00","0.1uF, 25V, X5R"
"C318","CAPC1005N","818.898mil","342.52mil","818.898mil","342.52mil","795.276mil","342.52mil","T","360.00","0.1uF, 25V, X5R"
"C317","CAPC1005N","889.764mil","307.087mil","889.764mil","307.087mil","889.764mil","283.465mil","T","90.00","0.1uF, 25V, X5R"
"C316","CAPC1005N","470.472mil","1210.63mil","470.472mil","1210.63mil","446.85mil","1210.63mil","T","360.00","0.1uF, 25V, X5R"
"C315","CAPC1005N","470.472mil","1407.48mil","470.472mil","1407.48mil","446.85mil","1407.48mil","T","360.00","0.1uF, 25V, X5R"
"C314","CAPC1005N","470.473mil","1111.22mil","470.473mil","1111.22mil","446.851mil","1111.22mil","T","360.00","0.1uF, 25V, X5R"
"C313","CAPC1005N","470.472mil","1309.055mil","470.472mil","1309.055mil","446.85mil","1309.055mil","T","360.00","0.1uF, 25V, X5R"
"C312","CAPC1005N","470.472mil","1505.906mil","470.472mil","1505.906mil","446.85mil","1505.906mil","T","360.00","0.1uF, 25V, X5R"
"C311","CAPC1005N","570.866mil","1181.102mil","570.866mil","1181.102mil","570.866mil","1204.724mil","T","270.00","0.1uF, 25V, X5R"
"C310","CAPC1005N","811.024mil","1283.465mil","811.024mil","1283.465mil","834.646mil","1283.465mil","T","180.00","0.1uF, 25V, X5R"
"C309","CAPC1005N","704.724mil","1283.465mil","704.724mil","1283.465mil","728.346mil","1283.465mil","T","180.00","0.22uF, 25V, X5R"
"C308","CAPC1005N","570.866mil","1299.213mil","570.866mil","1299.213mil","570.866mil","1322.835mil","T","270.00","0.1uF, 25V, X5R"
"C307","CAPC1608N","1259.842mil","767.716mil","1259.842mil","767.716mil","1259.842mil","736.221mil","T","90.00","1.0uF, 25V, 20% X5R"
"C306","CAPC1005N","570.866mil","1407.48mil","570.866mil","1407.48mil","570.866mil","1431.102mil","T","270.00","0.1uF, 25V, X5R"
"C305","CAPC1005N","1657.48mil","1059.055mil","1657.48mil","1059.055mil","1657.48mil","1082.677mil","T","270.00","0.1uF, 25V, X5R"
"C304","CAPC1005N","570.866mil","1515.748mil","570.866mil","1515.748mil","570.866mil","1539.37mil","T","270.00","0.1uF, 25V, X5R"
"C303","CAPC1608N","996.063mil","1322.834mil","996.063mil","1322.835mil","1018.334mil","1345.106mil","T","225.00","1.0uF, 25V, 20% X5R"
"C302","CAPC1005N","1657.48mil","960.63mil","1657.48mil","960.63mil","1657.48mil","984.252mil","T","270.00","0.1uF, 25V, X5R"
"C301","CAPC1005N","1023.622mil","1104.331mil","1023.622mil","1104.331mil","1047.244mil","1104.331mil","T","180.00","0.1uF, 25V, X5R"
